id,name,title,gender,role
DS039,Dubravko Sabolić,nasl. prof. dr. sc.,M,naslovni redoviti profesor u trajnom zvanju
DS118,Denis Salopek,dr. sc.,M,povjera predavanja
ZS000,Zdravko Schauperl,prof. dr. sc.,M,redoviti profesor u trajnom izboru
MS060,Marija Seder,prof. dr. sc.,F,redoviti profesor
GS042,Goran Sedmak,doc. dr. sc.,M,docent
DS013,Damir Seršić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
IS160,"Ivan Sičić,",mag. ing. comp.,M,asistent
DF001,Dubravka Sinčić,prof. dr. sc.,F,redoviti profesor
IS128,Igor Sirotić,dr. sc.,M,povjera predavanja
PS020,Pavle Skočir,doc. dr. sc.,M,docent
MS033,Minea Skok,dr. sc.,F,povjera predavanja
LS009,Lea Skorin-Kapov,prof. dr. sc.,F,redoviti profesor
NS016,Nina Skorin-Kapov,nasl. izv. prof. dr. sc.,F,naslovni izvanredni profesor
TS006,Tamara Sladoljev-Agejev,dr. sc.,F,povjera predavanja
VS109,Vladimir Slošić,,M,asistent
MS222,Marko Sossich,dr. sc.,M,povjera predavanja
AS038,Ana Sović Kržić,izv. prof. dr. sc.,F,izvanredni profesor
MS026,Mario Spremić,prof. dr. sc.,M,redoviti profesor
SV114,Sara Srebot,dr. sc.,F,povjera predavanja
VS014,Vlado Sruk,izv. prof. dr. sc.,M,izvanredni profesor
TS037,Tomislav Staroveški,izv. prof. dr. sc.,M,izvanredni profesor
NS081,Nina Stipetić,dr. sc.,F,povjera predavanja
SS068,Stjepan Stipetić,prof. dr. sc.,M,redoviti profesor
MS038,Marko Subašić,prof. dr. sc.,M,redoviti profesor
MS102,Mia Suhanek,doc. dr. sc.,F,docent
TS003,Tomislav Suligoj,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
DS018,Damir Sumina,prof. dr. sc.,M,redoviti profesor
AS065,Ana Sušac,izv. prof. dr. sc.,F,izvanredni profesor
AS003,Aleksandar Sušić,prof. dr. sc.,M,redoviti profesor
MS074,Mirko Sužnjević,izv. prof. dr. sc.,M,izvanredni profesor
SŠ018,Siniša Šadek,izv. prof. dr. sc.,M,izvanredni profesor
SŠ099,Stjepan Šebek,doc. dr. sc.,M,docent
KŠ063,Karlo Šepetanc,dr. sc.,M,povjera predavanja
DŠ091,Danijel Šestan,izv. prof. dr. sc.,M,izvanredni profesor
MŠ026,Mile Šikić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
TŠ000,Tomislav Šikić,izv. prof. dr. sc.,M,izvanredni profesor
MŠ093,Marin Šilić,izv. prof. dr. sc.,M,izvanredni profesor
ZŠ007,Zdenko Šimić,izv. prof. dr. sc.,M,izvanredni profesor
DŠ012,Dina Šimunić,prof. dr. sc.,F,redoviti profesor u trajnom zvanju
ZŠ009,Zvonimir Šipuš,akademik prof. dr. sc.,M,redoviti profesor u trajnom zvanju
GŠ002,Gordan Šišul,prof. dr. sc.,M,redoviti profesor
FŠ011,Frano Škopljanac-Mačina,doc. dr. sc.,M,docent
DŠ010,Davor Škrlec,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
DŠ019,Dejan Škvorc,prof. dr. sc.,M,redoviti profesor
JŠ016,Jan Šnajder,prof. dr. sc.,M,redoviti profesor
RŠ022,Renato Šoić,dr. sc. tech.,M,asistent
FŠ014,Filip Šuligoj,doc. dr. sc.,M,docent
MŠ144,Marko Švaco,doc. dr. sc.,M,docent
AT030,Azra Tafro,izv. prof. dr. sc.,F,izvanredni profesor
ST004,Sejid Tešnjak,prof. dr. sc.,unknown,redoviti profesor
ZT022,Zvonimir Tomičević,izv. prof. dr. sc.,M,izvanredni profesor
BT011,Bojan Trkulja,prof. dr. sc.,M,redoviti profesor
KT002,Krešimir Trontl,prof. dr. sc.,M,redoviti profesor
KT019,Krunoslav Tržec,dr. sc.,M,povjera predavanja
FT018,Filip Turčinović,,M,asistent
MT153,Martin Tutek,dr. sc.,M,povjera predavanja
IU003,Ivo Uglešić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
IM123,Inga Urlić,prof. dr. sc.,F,redoviti profesor
DV152,Dirk Van Hertem,prof. dr. sc.,M,redoviti profesor
DV015,Darko Vasić,prof. dr. sc.,M,redoviti profesor
