id,name,title,gender,role
MK009,Mario Krnić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
IK021,Igor Krois,prof. dr. sc.,M,redoviti profesor u trajnom izboru
MK408,"Matej Krpan,",mag. ing. el. techn. inf.,M,asistent
AK191,Adrian Satja Kurdija,doc. dr. sc.,M,docent
MK056,Mario Kušek,prof. dr. sc.,M,redoviti profesor u trajnom izboru
MK234,Martina Kutija,izv. prof. dr. sc.,F,izvanredni profesor
IK023,Igor Kuzle,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
IK253,"Igor Kvasić,",mag. ing. el. techn. inf.,M,asistent
IL009,Igor Lacković,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
DL005,Darko Landek,prof. dr. sc.,M,redoviti profesor
IL008,Ivan Leniček,prof. dr. sc.,M,redoviti profesor
VL042,Vinko Lešić,izv. prof. dr. sc.,M,izvanredni profesor
ML202,Matija Livaić,,unknown,asistent
JL062,Josip Lončar,izv. prof. dr. sc.,M,izvanredni profesor
SL003,Sven Lončarić,akademik prof. dr. sc.,M,redoviti profesor u trajnom zvanju
IL006,Ignac Lovrek,akademik prof. emer. dr. sc.,M,professor emeritus
ŽL007,Željka Lučev Vasić,izv. prof. dr. sc.,F,izvanredni profesor
RM005,Ratko Magjarević,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
KM005,Krešimir Malarić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
RM006,Roman Malarić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
NM062,Nenad Malenica,izv. prof. dr. sc.,M,izvanredni profesor
